# Qsim engine benchmark
# go=go1.26.3 os=windows arch=amd64 cpus=8
# cpu: 11th Gen Intel Core i7-1165G7 @ 2.80GHz, 16GB RAM
# mem: sys=10.5MB alloc=0.2MB
# times are median ms/op unless noted; complex64 = 8 B/amp

## gate latency: dense k-qubit Multiply on n-qubit state (ms)
n_state | mem | k=1 | k=2 | k=3 | k=4
      4 |   0.0MB |  0.00 |  0.00 |  0.00 |  0.00
      6 |   0.0MB |  0.00 |  0.00 |  0.00 |  0.00
      8 |   0.0MB |  0.00 |  0.00 |  0.00 |  0.00
     10 |   0.0MB |  0.00 |  0.00 |  0.00 |  0.00
     12 |   0.0MB |  0.00 |  0.00 |  0.00 |  0.53
     14 |   0.1MB |  0.00 |  0.00 |  1.00 |  3.00
     16 |   0.5MB |  1.00 |  2.99 |  5.99 | 12.00

## pipeline: merge + H layer + CX ladder (ms, best of 5)
n | state_mem | merge | H-layer | CX-ladder | total | ~fps@engine-only
 2 |      0.0MB |   0.00 |    0.00 |     0.00 |   0.00 | >10000
 4 |      0.0MB |   0.00 |    0.00 |     0.00 |   0.00 | >10000
 6 |      0.0MB |   0.00 |    0.00 |     0.00 |   0.00 | >10000
 8 |      0.0MB |   0.00 |    0.00 |     0.00 |   0.00 | >10000
10 |      0.0MB |   0.00 |    0.00 |     0.00 |   0.00 | >10000
12 |      0.0MB |   0.00 |    2.00 |     2.00 |   4.00 | 250
14 |      0.1MB |   0.00 |    9.59 |     6.01 |  15.59 | 64
16 |      0.5MB |   1.00 |   46.00 |    33.00 |  80.00 | 13
18 |      2.1MB |   4.00 |  188.61 |   141.09 | 333.70 | 3
20 |      8.4MB |  17.11 |  909.12 |   626.71 | 1552.94 | 1
